ym,category,role,cases_pending
1998-07,Employment Discrimination,Defendant,2649
1998-08,Employment Discrimination,Defendant,2634
1998-09,Employment Discrimination,Defendant,2633
1998-10,Employment Discrimination,Defendant,2631
1998-11,Employment Discrimination,Defendant,2622
1998-12,Employment Discrimination,Defendant,2625
1999-01,Employment Discrimination,Defendant,2626
1999-02,Employment Discrimination,Defendant,2626
1999-03,Employment Discrimination,Defendant,2623
1999-04,Employment Discrimination,Defendant,2615
1999-05,Employment Discrimination,Defendant,2650
1999-06,Employment Discrimination,Defendant,2668
1999-07,Employment Discrimination,Defendant,2677
1999-08,Employment Discrimination,Defendant,2719
1999-09,Employment Discrimination,Defendant,2684
1999-10,Employment Discrimination,Defendant,2691
1999-11,Employment Discrimination,Defendant,2713
1999-12,Employment Discrimination,Defendant,2742
2000-01,Employment Discrimination,Defendant,2766
2000-02,Employment Discrimination,Defendant,2764
2000-03,Employment Discrimination,Defendant,2693
2000-04,Employment Discrimination,Defendant,2689
2000-05,Employment Discrimination,Defendant,2703
2000-06,Employment Discrimination,Defendant,2733
2000-07,Employment Discrimination,Defendant,2721
2000-08,Employment Discrimination,Defendant,2738
2000-09,Employment Discrimination,Defendant,2732
2000-10,Employment Discrimination,Defendant,2751
2000-11,Employment Discrimination,Defendant,2745
2000-12,Employment Discrimination,Defendant,2760
2001-01,Employment Discrimination,Defendant,2723
2001-02,Employment Discrimination,Defendant,2703
2001-03,Employment Discrimination,Defendant,2690
2001-04,Employment Discrimination,Defendant,2691
2001-05,Employment Discrimination,Defendant,2667
2001-06,Employment Discrimination,Defendant,2659
2001-07,Employment Discrimination,Defendant,2682
2001-08,Employment Discrimination,Defendant,2668
2001-09,Employment Discrimination,Defendant,2654
2001-10,Employment Discrimination,Defendant,2688
2001-11,Employment Discrimination,Defendant,2695
2001-12,Employment Discrimination,Defendant,2704
2002-01,Employment Discrimination,Defendant,2686
2002-02,Employment Discrimination,Defendant,2698
2002-03,Employment Discrimination,Defendant,2664
2002-04,Employment Discrimination,Defendant,2645
2002-05,Employment Discrimination,Defendant,2656
2002-06,Employment Discrimination,Defendant,2651
2002-07,Employment Discrimination,Defendant,2681
2002-08,Employment Discrimination,Defendant,2638
2002-09,Employment Discrimination,Defendant,2626
2002-10,Employment Discrimination,Defendant,2648
2002-11,Employment Discrimination,Defendant,2696
2002-12,Employment Discrimination,Defendant,2714
2003-01,Employment Discrimination,Defendant,2675
2003-02,Employment Discrimination,Defendant,2656
2003-03,Employment Discrimination,Defendant,2651
2003-04,Employment Discrimination,Defendant,2639
2003-05,Employment Discrimination,Defendant,2646
2003-06,Employment Discrimination,Defendant,2677
2003-07,Employment Discrimination,Defendant,2655
2003-08,Employment Discrimination,Defendant,2674
2003-09,Employment Discrimination,Defendant,2667
2003-10,Employment Discrimination,Defendant,2676
2003-11,Employment Discrimination,Defendant,2692
2003-12,Employment Discrimination,Defendant,2715
2004-01,Employment Discrimination,Defendant,2723
2004-02,Employment Discrimination,Defendant,2685
2004-03,Employment Discrimination,Defendant,2665
2004-04,Employment Discrimination,Defendant,2698
2004-05,Employment Discrimination,Defendant,2718
2004-06,Employment Discrimination,Defendant,2750
2004-07,Employment Discrimination,Defendant,2781
2004-08,Employment Discrimination,Defendant,2805
2004-09,Employment Discrimination,Defendant,2797
2004-10,Employment Discrimination,Defendant,2811
2004-11,Employment Discrimination,Defendant,2845
2004-12,Employment Discrimination,Defendant,2875
2005-01,Employment Discrimination,Defendant,2868
2005-02,Employment Discrimination,Defendant,2856
2005-03,Employment Discrimination,Defendant,2795
2005-04,Employment Discrimination,Defendant,2769
2005-05,Employment Discrimination,Defendant,2761
2005-06,Employment Discrimination,Defendant,2768
2005-07,Employment Discrimination,Defendant,2759
2005-08,Employment Discrimination,Defendant,2718
2005-09,Employment Discrimination,Defendant,2716
2005-10,Employment Discrimination,Defendant,2710
2005-11,Employment Discrimination,Defendant,2694
2005-12,Employment Discrimination,Defendant,2692
2006-01,Employment Discrimination,Defendant,2645
2006-02,Employment Discrimination,Defendant,2632
2006-03,Employment Discrimination,Defendant,2564
2006-04,Employment Discrimination,Defendant,2537
2006-05,Employment Discrimination,Defendant,2534
2006-06,Employment Discrimination,Defendant,2508
2006-07,Employment Discrimination,Defendant,2479
2006-08,Employment Discrimination,Defendant,2466
2006-09,Employment Discrimination,Defendant,2416
2006-10,Employment Discrimination,Defendant,2397
2006-11,Employment Discrimination,Defendant,2397
2006-12,Employment Discrimination,Defendant,2403
2007-01,Employment Discrimination,Defendant,2399
2007-02,Employment Discrimination,Defendant,2379
2007-03,Employment Discrimination,Defendant,2314
2007-04,Employment Discrimination,Defendant,2320
2007-05,Employment Discrimination,Defendant,2270
2007-06,Employment Discrimination,Defendant,2261
2007-07,Employment Discrimination,Defendant,2251
2007-08,Employment Discrimination,Defendant,2232
2007-09,Employment Discrimination,Defendant,2217
2007-10,Employment Discrimination,Defendant,2204
2007-11,Employment Discrimination,Defendant,2201
2007-12,Employment Discrimination,Defendant,2236
2008-01,Employment Discrimination,Defendant,2219
2008-02,Employment Discrimination,Defendant,2172
2008-03,Employment Discrimination,Defendant,2135
2008-04,Employment Discrimination,Defendant,2127
2008-05,Employment Discrimination,Defendant,2129
2008-06,Employment Discrimination,Defendant,2131
2008-07,Employment Discrimination,Defendant,2128
2008-08,Employment Discrimination,Defendant,2116
2008-09,Employment Discrimination,Defendant,2099
2008-10,Employment Discrimination,Defendant,2093
2008-11,Employment Discrimination,Defendant,2108
2008-12,Employment Discrimination,Defendant,2105
2009-01,Employment Discrimination,Defendant,2098
2009-02,Employment Discrimination,Defendant,2076
2009-03,Employment Discrimination,Defendant,2033
2009-04,Employment Discrimination,Defendant,2012
2009-05,Employment Discrimination,Defendant,1986
2009-06,Employment Discrimination,Defendant,1919
2009-07,Employment Discrimination,Defendant,1891
2009-08,Employment Discrimination,Defendant,1877
2009-09,Employment Discrimination,Defendant,1845
2009-10,Employment Discrimination,Defendant,1819
2009-11,Employment Discrimination,Defendant,1823
2009-12,Employment Discrimination,Defendant,1798
2010-01,Employment Discrimination,Defendant,1755
2010-02,Employment Discrimination,Defendant,1746
2010-03,Employment Discrimination,Defendant,1682
2010-04,Employment Discrimination,Defendant,1655
2010-05,Employment Discrimination,Defendant,1643
2010-06,Employment Discrimination,Defendant,1640
2010-07,Employment Discrimination,Defendant,1626
2010-08,Employment Discrimination,Defendant,1620
2010-09,Employment Discrimination,Defendant,1610
2010-10,Employment Discrimination,Defendant,1630
2010-11,Employment Discrimination,Defendant,1642
2010-12,Employment Discrimination,Defendant,1661
2011-01,Employment Discrimination,Defendant,1641
2011-02,Employment Discrimination,Defendant,1639
2011-03,Employment Discrimination,Defendant,1627
2011-04,Employment Discrimination,Defendant,1617
2011-05,Employment Discrimination,Defendant,1613
2011-06,Employment Discrimination,Defendant,1609
2011-07,Employment Discrimination,Defendant,1618
2011-08,Employment Discrimination,Defendant,1614
2011-09,Employment Discrimination,Defendant,1602
2011-10,Employment Discrimination,Defendant,1603
2011-11,Employment Discrimination,Defendant,1608
2011-12,Employment Discrimination,Defendant,1615
2012-01,Employment Discrimination,Defendant,1612
2012-02,Employment Discrimination,Defendant,1597
2012-03,Employment Discrimination,Defendant,1562
2012-04,Employment Discrimination,Defendant,1547
2012-05,Employment Discrimination,Defendant,1540
2012-06,Employment Discrimination,Defendant,1549
2012-07,Employment Discrimination,Defendant,1532
2012-08,Employment Discrimination,Defendant,1518
2012-09,Employment Discrimination,Defendant,1499
2012-10,Employment Discrimination,Defendant,1470
2012-11,Employment Discrimination,Defendant,1482
2012-12,Employment Discrimination,Defendant,1487
2013-01,Employment Discrimination,Defendant,1483
2013-02,Employment Discrimination,Defendant,1487
2013-03,Employment Discrimination,Defendant,1459
2013-04,Employment Discrimination,Defendant,1457
2013-05,Employment Discrimination,Defendant,1460
2013-06,Employment Discrimination,Defendant,1443
2013-07,Employment Discrimination,Defendant,1450
2013-08,Employment Discrimination,Defendant,1453
2013-09,Employment Discrimination,Defendant,1425
2013-10,Employment Discrimination,Defendant,1436
2013-11,Employment Discrimination,Defendant,1419
2013-12,Employment Discrimination,Defendant,1422
2014-01,Employment Discrimination,Defendant,1401
2014-02,Employment Discrimination,Defendant,1399
2014-03,Employment Discrimination,Defendant,1372
2014-04,Employment Discrimination,Defendant,1385
2014-05,Employment Discrimination,Defendant,1399
2014-06,Employment Discrimination,Defendant,1380
2014-07,Employment Discrimination,Defendant,1378
2014-08,Employment Discrimination,Defendant,1381
2014-09,Employment Discrimination,Defendant,1381
2014-10,Employment Discrimination,Defendant,1379
2014-11,Employment Discrimination,Defendant,1392
2014-12,Employment Discrimination,Defendant,1384
2015-01,Employment Discrimination,Defendant,1374
2015-02,Employment Discrimination,Defendant,1382
2015-03,Employment Discrimination,Defendant,1365
2015-04,Employment Discrimination,Defendant,1363
2015-05,Employment Discrimination,Defendant,1356
2015-06,Employment Discrimination,Defendant,1360
2015-07,Employment Discrimination,Defendant,1337
2015-08,Employment Discrimination,Defendant,1340
2015-09,Employment Discrimination,Defendant,1328
2015-10,Employment Discrimination,Defendant,1339
2015-11,Employment Discrimination,Defendant,1319
2015-12,Employment Discrimination,Defendant,1303
2016-01,Employment Discrimination,Defendant,1309
2016-02,Employment Discrimination,Defendant,1319
2016-03,Employment Discrimination,Defendant,1311
2016-04,Employment Discrimination,Defendant,1302
2016-05,Employment Discrimination,Defendant,1283
2016-06,Employment Discrimination,Defendant,1267
2016-07,Employment Discrimination,Defendant,1260
2016-08,Employment Discrimination,Defendant,1269
2016-09,Employment Discrimination,Defendant,1267
2016-10,Employment Discrimination,Defendant,1266
2016-11,Employment Discrimination,Defendant,1264
2016-12,Employment Discrimination,Defendant,1261
2017-01,Employment Discrimination,Defendant,1252
2017-02,Employment Discrimination,Defendant,1236
2017-03,Employment Discrimination,Defendant,1203
2017-04,Employment Discrimination,Defendant,1209
2017-05,Employment Discrimination,Defendant,1206
2017-06,Employment Discrimination,Defendant,1203
2017-07,Employment Discrimination,Defendant,1206
2017-08,Employment Discrimination,Defendant,1212
2017-09,Employment Discrimination,Defendant,1213
2017-10,Employment Discrimination,Defendant,1215
2017-11,Employment Discrimination,Defendant,1227
2017-12,Employment Discrimination,Defendant,1258
2018-01,Employment Discrimination,Defendant,1266
2018-02,Employment Discrimination,Defendant,1281
2018-03,Employment Discrimination,Defendant,1251
2018-04,Employment Discrimination,Defendant,1248
2018-05,Employment Discrimination,Defendant,1258
2018-06,Employment Discrimination,Defendant,1265
2018-07,Employment Discrimination,Defendant,1277
2018-08,Employment Discrimination,Defendant,1299
2018-09,Employment Discrimination,Defendant,1307
2018-10,Employment Discrimination,Defendant,1303
2018-11,Employment Discrimination,Defendant,1305
2018-12,Employment Discrimination,Defendant,1337
2019-01,Employment Discrimination,Defendant,1375
2019-02,Employment Discrimination,Defendant,1398
2019-03,Employment Discrimination,Defendant,1383
2019-04,Employment Discrimination,Defendant,1355
2019-05,Employment Discrimination,Defendant,1349
2019-06,Employment Discrimination,Defendant,1375
2019-07,Employment Discrimination,Defendant,1376
2019-08,Employment Discrimination,Defendant,1392
2019-09,Employment Discrimination,Defendant,1407
2019-10,Employment Discrimination,Defendant,1425
2019-11,Employment Discrimination,Defendant,1419
2019-12,Employment Discrimination,Defendant,1411
2020-01,Employment Discrimination,Defendant,1399
2020-02,Employment Discrimination,Defendant,1372
2020-03,Employment Discrimination,Defendant,1399
2020-04,Employment Discrimination,Defendant,1422
2020-05,Employment Discrimination,Defendant,1439
2020-06,Employment Discrimination,Defendant,1463
2020-07,Employment Discrimination,Defendant,1478
2020-08,Employment Discrimination,Defendant,1464
2020-09,Employment Discrimination,Defendant,1455
2020-10,Employment Discrimination,Defendant,1464
2020-11,Employment Discrimination,Defendant,1465
2020-12,Employment Discrimination,Defendant,1491
2021-01,Employment Discrimination,Defendant,1501
2021-02,Employment Discrimination,Defendant,1516
2021-03,Employment Discrimination,Defendant,1509
2021-04,Employment Discrimination,Defendant,1524
2021-05,Employment Discrimination,Defendant,1513
2021-06,Employment Discrimination,Defendant,1515
2021-07,Employment Discrimination,Defendant,1540
2021-08,Employment Discrimination,Defendant,1540
2021-09,Employment Discrimination,Defendant,1536
2021-10,Employment Discrimination,Defendant,1548
2021-11,Employment Discrimination,Defendant,1542
2021-12,Employment Discrimination,Defendant,1539
2022-01,Employment Discrimination,Defendant,1550
2022-02,Employment Discrimination,Defendant,1560
2022-03,Employment Discrimination,Defendant,1550
2022-04,Employment Discrimination,Defendant,1556
2022-05,Employment Discrimination,Defendant,1573
2022-06,Employment Discrimination,Defendant,1587
2022-07,Employment Discrimination,Defendant,1595
2022-08,Employment Discrimination,Defendant,1597
2022-09,Employment Discrimination,Defendant,1599
2022-10,Employment Discrimination,Defendant,1601
2022-11,Employment Discrimination,Defendant,1582
2022-12,Employment Discrimination,Defendant,1592
2023-01,Employment Discrimination,Defendant,1586
2023-02,Employment Discrimination,Defendant,1571
2023-03,Employment Discrimination,Defendant,1546
2023-04,Employment Discrimination,Defendant,1535
2023-05,Employment Discrimination,Defendant,1531
2023-06,Employment Discrimination,Defendant,1529
2023-07,Employment Discrimination,Defendant,1531
2023-08,Employment Discrimination,Defendant,1497
2023-09,Employment Discrimination,Defendant,1468
2023-10,Employment Discrimination,Defendant,1480
2023-11,Employment Discrimination,Defendant,1487
2023-12,Employment Discrimination,Defendant,1502
2024-01,Employment Discrimination,Defendant,1508
2024-02,Employment Discrimination,Defendant,1514
2024-03,Employment Discrimination,Defendant,1514
2024-04,Employment Discrimination,Defendant,1521
2024-05,Employment Discrimination,Defendant,1510
2024-06,Employment Discrimination,Defendant,1494
2024-07,Employment Discrimination,Defendant,1479
2024-08,Employment Discrimination,Defendant,1478
2024-09,Employment Discrimination,Defendant,1459
2024-10,Employment Discrimination,Defendant,1464
2024-11,Employment Discrimination,Defendant,1464
2024-12,Employment Discrimination,Defendant,1463
2025-01,Employment Discrimination,Defendant,1466
2025-02,Employment Discrimination,Defendant,1441
2025-03,Employment Discrimination,Defendant,1417
2025-04,Employment Discrimination,Defendant,1397
2025-05,Employment Discrimination,Defendant,1390
2025-06,Employment Discrimination,Defendant,1396
2025-07,Employment Discrimination,Defendant,1397
2025-08,Employment Discrimination,Defendant,1417
2025-09,Employment Discrimination,Defendant,1431
2025-10,Employment Discrimination,Defendant,1468
2025-11,Employment Discrimination,Defendant,1494
2025-12,Employment Discrimination,Defendant,1530
2026-01,Employment Discrimination,Defendant,1538
2026-02,Employment Discrimination,Defendant,1548
2026-03,Employment Discrimination,Defendant,1543
2026-04,Employment Discrimination,Defendant,1583
2026-05,Employment Discrimination,Defendant,1610
2026-06,Employment Discrimination,Defendant,1641
2026-07,Employment Discrimination,Defendant,1635
1994-10,Environmental/Lands,Defendant,1259
1994-11,Environmental/Lands,Defendant,1278
1994-12,Environmental/Lands,Defendant,1287
1995-01,Environmental/Lands,Defendant,1279
1995-02,Environmental/Lands,Defendant,1283
1995-03,Environmental/Lands,Defendant,1287
1995-04,Environmental/Lands,Defendant,1291
1995-05,Environmental/Lands,Defendant,1277
1995-06,Environmental/Lands,Defendant,1231
1995-07,Environmental/Lands,Defendant,1249
1995-08,Environmental/Lands,Defendant,1240
1995-09,Environmental/Lands,Defendant,1257
1995-10,Environmental/Lands,Defendant,1259
1995-11,Environmental/Lands,Defendant,1262
1995-12,Environmental/Lands,Defendant,1282
1996-01,Environmental/Lands,Defendant,1296
1996-02,Environmental/Lands,Defendant,1287
1996-03,Environmental/Lands,Defendant,1293
1996-04,Environmental/Lands,Defendant,1308
1996-05,Environmental/Lands,Defendant,1323
1996-06,Environmental/Lands,Defendant,1274
1996-07,Environmental/Lands,Defendant,1262
1996-08,Environmental/Lands,Defendant,1278
1996-09,Environmental/Lands,Defendant,1277
1996-10,Environmental/Lands,Defendant,1287
1996-11,Environmental/Lands,Defendant,1272
1996-12,Environmental/Lands,Defendant,1274
1997-01,Environmental/Lands,Defendant,1255
1997-02,Environmental/Lands,Defendant,1273
1997-03,Environmental/Lands,Defendant,1272
1997-04,Environmental/Lands,Defendant,1293
1997-05,Environmental/Lands,Defendant,1275
1997-06,Environmental/Lands,Defendant,1262
1997-07,Environmental/Lands,Defendant,1271
1997-08,Environmental/Lands,Defendant,1254
1997-09,Environmental/Lands,Defendant,1251
1997-10,Environmental/Lands,Defendant,1255
1997-11,Environmental/Lands,Defendant,1253
1997-12,Environmental/Lands,Defendant,1254
1998-01,Environmental/Lands,Defendant,1260
1998-02,Environmental/Lands,Defendant,1244
1998-03,Environmental/Lands,Defendant,1238
1998-04,Environmental/Lands,Defendant,1236
1998-05,Environmental/Lands,Defendant,1250
1998-06,Environmental/Lands,Defendant,1265
1998-07,Environmental/Lands,Defendant,1275
1998-08,Environmental/Lands,Defendant,1259
1998-09,Environmental/Lands,Defendant,1227
1998-10,Environmental/Lands,Defendant,1227
1998-11,Environmental/Lands,Defendant,1223
1998-12,Environmental/Lands,Defendant,1241
1999-01,Environmental/Lands,Defendant,1222
1999-02,Environmental/Lands,Defendant,1219
1999-03,Environmental/Lands,Defendant,1215
1999-04,Environmental/Lands,Defendant,1214
1999-05,Environmental/Lands,Defendant,1228
1999-06,Environmental/Lands,Defendant,1253
1999-07,Environmental/Lands,Defendant,1214
1999-08,Environmental/Lands,Defendant,1218
1999-09,Environmental/Lands,Defendant,1224
1999-10,Environmental/Lands,Defendant,1218
1999-11,Environmental/Lands,Defendant,1191
1999-12,Environmental/Lands,Defendant,1176
2000-01,Environmental/Lands,Defendant,1172
2000-02,Environmental/Lands,Defendant,1150
2000-03,Environmental/Lands,Defendant,1112
2000-04,Environmental/Lands,Defendant,1113
2000-05,Environmental/Lands,Defendant,1122
2000-06,Environmental/Lands,Defendant,1128
2000-07,Environmental/Lands,Defendant,1109
2000-08,Environmental/Lands,Defendant,1117
2000-09,Environmental/Lands,Defendant,1104
2000-10,Environmental/Lands,Defendant,1114
2000-11,Environmental/Lands,Defendant,1173
2000-12,Environmental/Lands,Defendant,1203
2001-01,Environmental/Lands,Defendant,1215
2001-02,Environmental/Lands,Defendant,1214
2001-03,Environmental/Lands,Defendant,1202
2001-04,Environmental/Lands,Defendant,1199
2001-05,Environmental/Lands,Defendant,1207
2001-06,Environmental/Lands,Defendant,1179
2001-07,Environmental/Lands,Defendant,1164
2001-08,Environmental/Lands,Defendant,1146
2001-09,Environmental/Lands,Defendant,1137
2001-10,Environmental/Lands,Defendant,1133
2001-11,Environmental/Lands,Defendant,1113
2001-12,Environmental/Lands,Defendant,1111
2002-01,Environmental/Lands,Defendant,1129
2002-02,Environmental/Lands,Defendant,1128
2002-03,Environmental/Lands,Defendant,1132
2002-04,Environmental/Lands,Defendant,1140
2002-05,Environmental/Lands,Defendant,1121
2002-06,Environmental/Lands,Defendant,1132
2002-07,Environmental/Lands,Defendant,1134
2002-08,Environmental/Lands,Defendant,1032
2002-09,Environmental/Lands,Defendant,1042
2002-10,Environmental/Lands,Defendant,1046
2002-11,Environmental/Lands,Defendant,1055
2002-12,Environmental/Lands,Defendant,1061
2003-01,Environmental/Lands,Defendant,1039
2003-02,Environmental/Lands,Defendant,1037
2003-03,Environmental/Lands,Defendant,1021
2003-04,Environmental/Lands,Defendant,1010
2003-05,Environmental/Lands,Defendant,1017
2003-06,Environmental/Lands,Defendant,1018
2003-07,Environmental/Lands,Defendant,993
2003-08,Environmental/Lands,Defendant,996
2003-09,Environmental/Lands,Defendant,995
2003-10,Environmental/Lands,Defendant,993
2003-11,Environmental/Lands,Defendant,999
2003-12,Environmental/Lands,Defendant,1009
2004-01,Environmental/Lands,Defendant,1019
2004-02,Environmental/Lands,Defendant,1003
2004-03,Environmental/Lands,Defendant,1009
2004-04,Environmental/Lands,Defendant,1031
2004-05,Environmental/Lands,Defendant,1051
2004-06,Environmental/Lands,Defendant,1046
2004-07,Environmental/Lands,Defendant,1056
2004-08,Environmental/Lands,Defendant,1037
2004-09,Environmental/Lands,Defendant,1044
2004-10,Environmental/Lands,Defendant,1037
2004-11,Environmental/Lands,Defendant,1027
2004-12,Environmental/Lands,Defendant,1019
2005-01,Environmental/Lands,Defendant,1000
2005-02,Environmental/Lands,Defendant,1000
2005-03,Environmental/Lands,Defendant,986
2005-04,Environmental/Lands,Defendant,987
2005-05,Environmental/Lands,Defendant,972
2005-06,Environmental/Lands,Defendant,990
2005-07,Environmental/Lands,Defendant,979
2005-08,Environmental/Lands,Defendant,969
2005-09,Environmental/Lands,Defendant,940
2005-10,Environmental/Lands,Defendant,935
2005-11,Environmental/Lands,Defendant,919
2005-12,Environmental/Lands,Defendant,923
2006-01,Environmental/Lands,Defendant,937
2006-02,Environmental/Lands,Defendant,940
2006-03,Environmental/Lands,Defendant,915
2006-04,Environmental/Lands,Defendant,915
2006-05,Environmental/Lands,Defendant,917
2006-06,Environmental/Lands,Defendant,909
2006-07,Environmental/Lands,Defendant,938
2006-08,Environmental/Lands,Defendant,923
2006-09,Environmental/Lands,Defendant,918
2006-10,Environmental/Lands,Defendant,915
2006-11,Environmental/Lands,Defendant,929
2006-12,Environmental/Lands,Defendant,965
2007-01,Environmental/Lands,Defendant,924
2007-02,Environmental/Lands,Defendant,930
2007-03,Environmental/Lands,Defendant,892
2007-04,Environmental/Lands,Defendant,872
2007-05,Environmental/Lands,Defendant,877
2007-06,Environmental/Lands,Defendant,872
2007-07,Environmental/Lands,Defendant,879
2007-08,Environmental/Lands,Defendant,872
2007-09,Environmental/Lands,Defendant,849
2007-10,Environmental/Lands,Defendant,848
2007-11,Environmental/Lands,Defendant,848
2007-12,Environmental/Lands,Defendant,837
2008-01,Environmental/Lands,Defendant,828
2008-02,Environmental/Lands,Defendant,803
2008-03,Environmental/Lands,Defendant,801
2008-04,Environmental/Lands,Defendant,785
2008-05,Environmental/Lands,Defendant,780
2008-06,Environmental/Lands,Defendant,783
2008-07,Environmental/Lands,Defendant,779
2008-08,Environmental/Lands,Defendant,776
2008-09,Environmental/Lands,Defendant,778
2008-10,Environmental/Lands,Defendant,775
2008-11,Environmental/Lands,Defendant,790
2008-12,Environmental/Lands,Defendant,796
2009-01,Environmental/Lands,Defendant,831
2009-02,Environmental/Lands,Defendant,830
2009-03,Environmental/Lands,Defendant,831
2009-04,Environmental/Lands,Defendant,832
2009-05,Environmental/Lands,Defendant,829
2009-06,Environmental/Lands,Defendant,841
2009-07,Environmental/Lands,Defendant,810
2009-08,Environmental/Lands,Defendant,791
2009-09,Environmental/Lands,Defendant,795
2009-10,Environmental/Lands,Defendant,813
2009-11,Environmental/Lands,Defendant,808
2009-12,Environmental/Lands,Defendant,820
2010-01,Environmental/Lands,Defendant,825
2010-02,Environmental/Lands,Defendant,831
2010-03,Environmental/Lands,Defendant,818
2010-04,Environmental/Lands,Defendant,782
2010-05,Environmental/Lands,Defendant,780
2010-06,Environmental/Lands,Defendant,790
2010-07,Environmental/Lands,Defendant,783
2010-08,Environmental/Lands,Defendant,779
2010-09,Environmental/Lands,Defendant,738
2010-10,Environmental/Lands,Defendant,750
2010-11,Environmental/Lands,Defendant,759
2010-12,Environmental/Lands,Defendant,752
2011-01,Environmental/Lands,Defendant,766
2011-02,Environmental/Lands,Defendant,758
2011-03,Environmental/Lands,Defendant,713
2011-04,Environmental/Lands,Defendant,703
2011-05,Environmental/Lands,Defendant,709
2011-06,Environmental/Lands,Defendant,701
2011-07,Environmental/Lands,Defendant,707
2011-08,Environmental/Lands,Defendant,717
2011-09,Environmental/Lands,Defendant,703
2011-10,Environmental/Lands,Defendant,693
2011-11,Environmental/Lands,Defendant,707
2011-12,Environmental/Lands,Defendant,712
2012-01,Environmental/Lands,Defendant,698
2012-02,Environmental/Lands,Defendant,694
2012-03,Environmental/Lands,Defendant,680
2012-04,Environmental/Lands,Defendant,674
2012-05,Environmental/Lands,Defendant,687
2012-06,Environmental/Lands,Defendant,694
2012-07,Environmental/Lands,Defendant,699
2012-08,Environmental/Lands,Defendant,711
2012-09,Environmental/Lands,Defendant,704
2012-10,Environmental/Lands,Defendant,702
2012-11,Environmental/Lands,Defendant,705
2012-12,Environmental/Lands,Defendant,704
2013-01,Environmental/Lands,Defendant,703
2013-02,Environmental/Lands,Defendant,695
2013-03,Environmental/Lands,Defendant,685
2013-04,Environmental/Lands,Defendant,690
2013-05,Environmental/Lands,Defendant,695
2013-06,Environmental/Lands,Defendant,707
2013-07,Environmental/Lands,Defendant,691
2013-08,Environmental/Lands,Defendant,679
2013-09,Environmental/Lands,Defendant,661
2013-10,Environmental/Lands,Defendant,670
2013-11,Environmental/Lands,Defendant,669
2013-12,Environmental/Lands,Defendant,678
2014-01,Environmental/Lands,Defendant,685
2014-02,Environmental/Lands,Defendant,682
2014-03,Environmental/Lands,Defendant,678
2014-04,Environmental/Lands,Defendant,676
2014-05,Environmental/Lands,Defendant,680
2014-06,Environmental/Lands,Defendant,682
2014-07,Environmental/Lands,Defendant,668
2014-08,Environmental/Lands,Defendant,654
2014-09,Environmental/Lands,Defendant,633
2014-10,Environmental/Lands,Defendant,631
2014-11,Environmental/Lands,Defendant,642
2014-12,Environmental/Lands,Defendant,632
2015-01,Environmental/Lands,Defendant,653
2015-02,Environmental/Lands,Defendant,642
2015-03,Environmental/Lands,Defendant,661
2015-04,Environmental/Lands,Defendant,651
2015-05,Environmental/Lands,Defendant,645
2015-06,Environmental/Lands,Defendant,640
2015-07,Environmental/Lands,Defendant,643
2015-08,Environmental/Lands,Defendant,617
2015-09,Environmental/Lands,Defendant,603
2015-10,Environmental/Lands,Defendant,601
2015-11,Environmental/Lands,Defendant,600
2015-12,Environmental/Lands,Defendant,591
2016-01,Environmental/Lands,Defendant,588
2016-02,Environmental/Lands,Defendant,592
2016-03,Environmental/Lands,Defendant,579
2016-04,Environmental/Lands,Defendant,578
2016-05,Environmental/Lands,Defendant,589
2016-06,Environmental/Lands,Defendant,601
2016-07,Environmental/Lands,Defendant,606
2016-08,Environmental/Lands,Defendant,597
2016-09,Environmental/Lands,Defendant,589
2016-10,Environmental/Lands,Defendant,602
2016-11,Environmental/Lands,Defendant,598
2016-12,Environmental/Lands,Defendant,605
2017-01,Environmental/Lands,Defendant,588
2017-02,Environmental/Lands,Defendant,583
2017-03,Environmental/Lands,Defendant,562
2017-04,Environmental/Lands,Defendant,553
2017-05,Environmental/Lands,Defendant,556
2017-06,Environmental/Lands,Defendant,547
2017-07,Environmental/Lands,Defendant,539
2017-08,Environmental/Lands,Defendant,531
2017-09,Environmental/Lands,Defendant,531
2017-10,Environmental/Lands,Defendant,541
2017-11,Environmental/Lands,Defendant,542
2017-12,Environmental/Lands,Defendant,538
2018-01,Environmental/Lands,Defendant,527
2018-02,Environmental/Lands,Defendant,528
2018-03,Environmental/Lands,Defendant,516
2018-04,Environmental/Lands,Defendant,529
2018-05,Environmental/Lands,Defendant,528
2018-06,Environmental/Lands,Defendant,533
2018-07,Environmental/Lands,Defendant,524
2018-08,Environmental/Lands,Defendant,514
2018-09,Environmental/Lands,Defendant,507
2018-10,Environmental/Lands,Defendant,505
2018-11,Environmental/Lands,Defendant,513
2018-12,Environmental/Lands,Defendant,502
2019-01,Environmental/Lands,Defendant,511
2019-02,Environmental/Lands,Defendant,506
2019-03,Environmental/Lands,Defendant,496
2019-04,Environmental/Lands,Defendant,504
2019-05,Environmental/Lands,Defendant,502
2019-06,Environmental/Lands,Defendant,511
2019-07,Environmental/Lands,Defendant,517
2019-08,Environmental/Lands,Defendant,518
2019-09,Environmental/Lands,Defendant,516
2019-10,Environmental/Lands,Defendant,522
2019-11,Environmental/Lands,Defendant,538
2019-12,Environmental/Lands,Defendant,536
2020-01,Environmental/Lands,Defendant,547
2020-02,Environmental/Lands,Defendant,547
2020-03,Environmental/Lands,Defendant,543
2020-04,Environmental/Lands,Defendant,547
