ym,category,reason,declined
2005-05,ALL,Alternative to Federal Prosecution,53
2005-06,ALL,Alternative to Federal Prosecution,55
2005-07,ALL,Alternative to Federal Prosecution,55
2005-08,ALL,Alternative to Federal Prosecution,65
2005-09,ALL,Alternative to Federal Prosecution,61
2005-10,ALL,Alternative to Federal Prosecution,48
2005-11,ALL,Alternative to Federal Prosecution,41
2005-12,ALL,Alternative to Federal Prosecution,60
2006-01,ALL,Alternative to Federal Prosecution,56
2006-02,ALL,Alternative to Federal Prosecution,53
2006-03,ALL,Alternative to Federal Prosecution,78
2006-04,ALL,Alternative to Federal Prosecution,57
2006-05,ALL,Alternative to Federal Prosecution,39
2006-06,ALL,Alternative to Federal Prosecution,42
2006-07,ALL,Alternative to Federal Prosecution,42
2006-08,ALL,Alternative to Federal Prosecution,65
2006-09,ALL,Alternative to Federal Prosecution,50
2006-10,ALL,Alternative to Federal Prosecution,46
2006-11,ALL,Alternative to Federal Prosecution,40
2006-12,ALL,Alternative to Federal Prosecution,36
2007-01,ALL,Alternative to Federal Prosecution,59
2007-02,ALL,Alternative to Federal Prosecution,41
2007-03,ALL,Alternative to Federal Prosecution,51
2007-04,ALL,Alternative to Federal Prosecution,28
2007-05,ALL,Alternative to Federal Prosecution,43
2007-06,ALL,Alternative to Federal Prosecution,46
2007-07,ALL,Alternative to Federal Prosecution,43
2007-08,ALL,Alternative to Federal Prosecution,49
2007-09,ALL,Alternative to Federal Prosecution,51
2007-10,ALL,Alternative to Federal Prosecution,41
2007-11,ALL,Alternative to Federal Prosecution,41
2007-12,ALL,Alternative to Federal Prosecution,22
2008-01,ALL,Alternative to Federal Prosecution,59
2008-02,ALL,Alternative to Federal Prosecution,56
2008-03,ALL,Alternative to Federal Prosecution,73
2008-04,ALL,Alternative to Federal Prosecution,41
2008-05,ALL,Alternative to Federal Prosecution,50
2008-06,ALL,Alternative to Federal Prosecution,37
2008-07,ALL,Alternative to Federal Prosecution,47
2008-08,ALL,Alternative to Federal Prosecution,51
2008-09,ALL,Alternative to Federal Prosecution,61
2008-10,ALL,Alternative to Federal Prosecution,44
2008-11,ALL,Alternative to Federal Prosecution,23
2008-12,ALL,Alternative to Federal Prosecution,54
2009-01,ALL,Alternative to Federal Prosecution,36
2009-02,ALL,Alternative to Federal Prosecution,37
2009-03,ALL,Alternative to Federal Prosecution,55
2009-04,ALL,Alternative to Federal Prosecution,41
2009-05,ALL,Alternative to Federal Prosecution,29
2009-06,ALL,Alternative to Federal Prosecution,51
2009-07,ALL,Alternative to Federal Prosecution,38
2009-08,ALL,Alternative to Federal Prosecution,40
2009-09,ALL,Alternative to Federal Prosecution,64
2009-10,ALL,Alternative to Federal Prosecution,25
2009-11,ALL,Alternative to Federal Prosecution,29
2009-12,ALL,Alternative to Federal Prosecution,28
2010-01,ALL,Alternative to Federal Prosecution,40
2010-02,ALL,Alternative to Federal Prosecution,31
2010-03,ALL,Alternative to Federal Prosecution,58
2010-04,ALL,Alternative to Federal Prosecution,49
2010-05,ALL,Alternative to Federal Prosecution,46
2010-06,ALL,Alternative to Federal Prosecution,47
2010-07,ALL,Alternative to Federal Prosecution,45
2010-08,ALL,Alternative to Federal Prosecution,35
2010-09,ALL,Alternative to Federal Prosecution,62
2010-10,ALL,Alternative to Federal Prosecution,31
2010-11,ALL,Alternative to Federal Prosecution,39
2010-12,ALL,Alternative to Federal Prosecution,33
2011-01,ALL,Alternative to Federal Prosecution,50
2011-02,ALL,Alternative to Federal Prosecution,25
2011-03,ALL,Alternative to Federal Prosecution,95
2011-04,ALL,Alternative to Federal Prosecution,44
2011-05,ALL,Alternative to Federal Prosecution,47
2011-06,ALL,Alternative to Federal Prosecution,42
2011-07,ALL,Alternative to Federal Prosecution,36
2011-08,ALL,Alternative to Federal Prosecution,27
2011-09,ALL,Alternative to Federal Prosecution,40
2011-10,ALL,Alternative to Federal Prosecution,32
2011-11,ALL,Alternative to Federal Prosecution,40
2011-12,ALL,Alternative to Federal Prosecution,43
2012-01,ALL,Alternative to Federal Prosecution,37
2012-02,ALL,Alternative to Federal Prosecution,50
2012-03,ALL,Alternative to Federal Prosecution,52
2012-04,ALL,Alternative to Federal Prosecution,40
2012-05,ALL,Alternative to Federal Prosecution,34
2012-06,ALL,Alternative to Federal Prosecution,36
2012-07,ALL,Alternative to Federal Prosecution,28
2012-08,ALL,Alternative to Federal Prosecution,29
2012-09,ALL,Alternative to Federal Prosecution,31
2012-10,ALL,Alternative to Federal Prosecution,39
2012-11,ALL,Alternative to Federal Prosecution,30
2012-12,ALL,Alternative to Federal Prosecution,21
2013-01,ALL,Alternative to Federal Prosecution,42
2013-02,ALL,Alternative to Federal Prosecution,32
2013-03,ALL,Alternative to Federal Prosecution,49
2013-04,ALL,Alternative to Federal Prosecution,47
2013-05,ALL,Alternative to Federal Prosecution,56
2013-06,ALL,Alternative to Federal Prosecution,40
2013-07,ALL,Alternative to Federal Prosecution,28
2013-08,ALL,Alternative to Federal Prosecution,35
2013-09,ALL,Alternative to Federal Prosecution,61
2013-10,ALL,Alternative to Federal Prosecution,44
2013-11,ALL,Alternative to Federal Prosecution,47
2013-12,ALL,Alternative to Federal Prosecution,41
2014-01,ALL,Alternative to Federal Prosecution,60
2014-02,ALL,Alternative to Federal Prosecution,66
2014-03,ALL,Alternative to Federal Prosecution,209
2014-04,ALL,Alternative to Federal Prosecution,116
2014-05,ALL,Alternative to Federal Prosecution,98
2014-06,ALL,Alternative to Federal Prosecution,87
2014-07,ALL,Alternative to Federal Prosecution,114
2014-08,ALL,Alternative to Federal Prosecution,116
2014-09,ALL,Alternative to Federal Prosecution,219
2014-10,ALL,Alternative to Federal Prosecution,112
2014-11,ALL,Alternative to Federal Prosecution,60
2014-12,ALL,Alternative to Federal Prosecution,93
2015-01,ALL,Alternative to Federal Prosecution,131
2015-02,ALL,Alternative to Federal Prosecution,119
2015-03,ALL,Alternative to Federal Prosecution,197
2015-04,ALL,Alternative to Federal Prosecution,194
2015-05,ALL,Alternative to Federal Prosecution,83
2015-06,ALL,Alternative to Federal Prosecution,95
2015-07,ALL,Alternative to Federal Prosecution,103
2015-08,ALL,Alternative to Federal Prosecution,75
2015-09,ALL,Alternative to Federal Prosecution,103
2015-10,ALL,Alternative to Federal Prosecution,142
2015-11,ALL,Alternative to Federal Prosecution,67
2015-12,ALL,Alternative to Federal Prosecution,69
2016-01,ALL,Alternative to Federal Prosecution,70
2016-02,ALL,Alternative to Federal Prosecution,105
2016-03,ALL,Alternative to Federal Prosecution,188
2016-04,ALL,Alternative to Federal Prosecution,116
2016-05,ALL,Alternative to Federal Prosecution,56
2016-06,ALL,Alternative to Federal Prosecution,86
2016-07,ALL,Alternative to Federal Prosecution,66
2016-08,ALL,Alternative to Federal Prosecution,105
2016-09,ALL,Alternative to Federal Prosecution,114
2016-10,ALL,Alternative to Federal Prosecution,76
2016-11,ALL,Alternative to Federal Prosecution,69
2016-12,ALL,Alternative to Federal Prosecution,84
2017-01,ALL,Alternative to Federal Prosecution,95
2017-02,ALL,Alternative to Federal Prosecution,86
2017-03,ALL,Alternative to Federal Prosecution,179
2017-04,ALL,Alternative to Federal Prosecution,74
2017-05,ALL,Alternative to Federal Prosecution,80
2017-06,ALL,Alternative to Federal Prosecution,83
2017-07,ALL,Alternative to Federal Prosecution,91
2017-08,ALL,Alternative to Federal Prosecution,103
2017-09,ALL,Alternative to Federal Prosecution,180
2017-10,ALL,Alternative to Federal Prosecution,46
2017-11,ALL,Alternative to Federal Prosecution,59
2017-12,ALL,Alternative to Federal Prosecution,55
2018-01,ALL,Alternative to Federal Prosecution,77
2018-02,ALL,Alternative to Federal Prosecution,102
2018-03,ALL,Alternative to Federal Prosecution,220
2018-04,ALL,Alternative to Federal Prosecution,69
2018-05,ALL,Alternative to Federal Prosecution,109
2018-06,ALL,Alternative to Federal Prosecution,121
2018-07,ALL,Alternative to Federal Prosecution,121
2018-08,ALL,Alternative to Federal Prosecution,118
2018-09,ALL,Alternative to Federal Prosecution,187
2018-10,ALL,Alternative to Federal Prosecution,111
2018-11,ALL,Alternative to Federal Prosecution,82
2018-12,ALL,Alternative to Federal Prosecution,62
2019-01,ALL,Alternative to Federal Prosecution,64
2019-02,ALL,Alternative to Federal Prosecution,97
2019-03,ALL,Alternative to Federal Prosecution,211
2019-04,ALL,Alternative to Federal Prosecution,177
2019-05,ALL,Alternative to Federal Prosecution,129
2019-06,ALL,Alternative to Federal Prosecution,108
2019-07,ALL,Alternative to Federal Prosecution,127
2019-08,ALL,Alternative to Federal Prosecution,109
2019-09,ALL,Alternative to Federal Prosecution,250
2019-10,ALL,Alternative to Federal Prosecution,140
2019-11,ALL,Alternative to Federal Prosecution,66
2019-12,ALL,Alternative to Federal Prosecution,73
2020-01,ALL,Alternative to Federal Prosecution,114
2020-02,ALL,Alternative to Federal Prosecution,123
2020-03,ALL,Alternative to Federal Prosecution,142
2020-04,ALL,Alternative to Federal Prosecution,100
2020-05,ALL,Alternative to Federal Prosecution,51
2020-06,ALL,Alternative to Federal Prosecution,74
2020-07,ALL,Alternative to Federal Prosecution,74
2020-08,ALL,Alternative to Federal Prosecution,77
2020-09,ALL,Alternative to Federal Prosecution,194
2020-10,ALL,Alternative to Federal Prosecution,77
2020-11,ALL,Alternative to Federal Prosecution,71
2020-12,ALL,Alternative to Federal Prosecution,67
2021-01,ALL,Alternative to Federal Prosecution,68
2021-02,ALL,Alternative to Federal Prosecution,93
2021-03,ALL,Alternative to Federal Prosecution,218
2021-04,ALL,Alternative to Federal Prosecution,102
2021-05,ALL,Alternative to Federal Prosecution,83
2021-06,ALL,Alternative to Federal Prosecution,123
2021-07,ALL,Alternative to Federal Prosecution,80
