ym,category,reason,declined
2002-04,Drug Offenses,Legally Barred,12
2002-05,Drug Offenses,Legally Barred,17
2002-06,Drug Offenses,Legally Barred,9
2002-07,Drug Offenses,Legally Barred,10
2002-08,Drug Offenses,Legally Barred,1
2002-09,Drug Offenses,Legally Barred,11
2002-10,Drug Offenses,Legally Barred,8
2002-11,Drug Offenses,Legally Barred,8
2002-12,Drug Offenses,Legally Barred,3
2003-01,Drug Offenses,Legally Barred,3
2003-02,Drug Offenses,Legally Barred,3
2003-03,Drug Offenses,Legally Barred,7
2003-04,Drug Offenses,Legally Barred,8
2003-05,Drug Offenses,Legally Barred,1
2003-06,Drug Offenses,Legally Barred,5
2003-07,Drug Offenses,Legally Barred,3
2003-08,Drug Offenses,Legally Barred,3
2003-09,Drug Offenses,Legally Barred,41
2003-10,Drug Offenses,Legally Barred,3
2003-11,Drug Offenses,Legally Barred,14
2003-12,Drug Offenses,Legally Barred,8
2004-01,Drug Offenses,Legally Barred,3
2004-02,Drug Offenses,Legally Barred,11
2004-03,Drug Offenses,Legally Barred,13
2004-04,Drug Offenses,Legally Barred,11
2004-05,Drug Offenses,Legally Barred,2
2004-06,Drug Offenses,Legally Barred,5
2004-07,Drug Offenses,Legally Barred,8
2004-08,Drug Offenses,Legally Barred,5
2004-09,Drug Offenses,Legally Barred,16
2004-10,Drug Offenses,Legally Barred,5
2004-11,Drug Offenses,Legally Barred,4
2004-12,Drug Offenses,Legally Barred,3
2005-01,Drug Offenses,Legally Barred,1
2005-02,Drug Offenses,Legally Barred,1
2005-03,Drug Offenses,Legally Barred,6
2005-04,Drug Offenses,Legally Barred,5
2005-05,Drug Offenses,Legally Barred,2
2005-06,Drug Offenses,Legally Barred,1
2005-07,Drug Offenses,Legally Barred,1
2005-08,Drug Offenses,Legally Barred,1
2005-09,Drug Offenses,Legally Barred,5
2005-10,Drug Offenses,Legally Barred,10
2005-11,Drug Offenses,Legally Barred,4
2005-12,Drug Offenses,Legally Barred,2
2006-01,Drug Offenses,Legally Barred,4
2006-02,Drug Offenses,Legally Barred,9
2006-03,Drug Offenses,Legally Barred,21
2006-04,Drug Offenses,Legally Barred,4
2006-05,Drug Offenses,Legally Barred,2
2006-06,Drug Offenses,Legally Barred,1
2006-07,Drug Offenses,Legally Barred,1
2006-08,Drug Offenses,Legally Barred,7
2006-09,Drug Offenses,Legally Barred,7
2006-10,Drug Offenses,Legally Barred,3
2006-11,Drug Offenses,Legally Barred,2
2006-12,Drug Offenses,Legally Barred,4
2007-01,Drug Offenses,Legally Barred,4
2007-02,Drug Offenses,Legally Barred,1
2007-03,Drug Offenses,Legally Barred,4
2007-04,Drug Offenses,Legally Barred,8
2007-05,Drug Offenses,Legally Barred,7
2007-06,Drug Offenses,Legally Barred,1
2007-07,Drug Offenses,Legally Barred,2
2007-08,Drug Offenses,Legally Barred,10
2007-09,Drug Offenses,Legally Barred,9
2007-10,Drug Offenses,Legally Barred,10
2007-11,Drug Offenses,Legally Barred,1
2007-12,Drug Offenses,Legally Barred,3
2008-01,Drug Offenses,Legally Barred,8
2008-02,Drug Offenses,Legally Barred,5
2008-03,Drug Offenses,Legally Barred,5
2008-04,Drug Offenses,Legally Barred,6
2008-05,Drug Offenses,Legally Barred,1
2008-06,Drug Offenses,Legally Barred,2
2008-07,Drug Offenses,Legally Barred,10
2008-08,Drug Offenses,Legally Barred,10
2008-09,Drug Offenses,Legally Barred,9
2008-10,Drug Offenses,Legally Barred,6
2008-11,Drug Offenses,Legally Barred,2
2008-12,Drug Offenses,Legally Barred,5
2009-02,Drug Offenses,Legally Barred,2
2009-03,Drug Offenses,Legally Barred,11
2009-04,Drug Offenses,Legally Barred,5
2009-06,Drug Offenses,Legally Barred,5
2009-07,Drug Offenses,Legally Barred,2
2009-08,Drug Offenses,Legally Barred,1
2009-09,Drug Offenses,Legally Barred,13
2009-10,Drug Offenses,Legally Barred,3
2009-12,Drug Offenses,Legally Barred,2
2010-01,Drug Offenses,Legally Barred,3
2010-02,Drug Offenses,Legally Barred,4
2010-03,Drug Offenses,Legally Barred,33
2010-04,Drug Offenses,Legally Barred,4
2010-05,Drug Offenses,Legally Barred,9
2010-06,Drug Offenses,Legally Barred,8
2010-07,Drug Offenses,Legally Barred,3
2010-08,Drug Offenses,Legally Barred,4
2010-09,Drug Offenses,Legally Barred,5
2010-10,Drug Offenses,Legally Barred,8
2010-11,Drug Offenses,Legally Barred,3
2010-12,Drug Offenses,Legally Barred,2
2011-01,Drug Offenses,Legally Barred,6
2011-02,Drug Offenses,Legally Barred,4
2011-03,Drug Offenses,Legally Barred,18
2011-04,Drug Offenses,Legally Barred,7
2011-05,Drug Offenses,Legally Barred,7
2011-06,Drug Offenses,Legally Barred,5
2011-07,Drug Offenses,Legally Barred,3
2011-08,Drug Offenses,Legally Barred,9
2011-09,Drug Offenses,Legally Barred,14
2011-10,Drug Offenses,Legally Barred,2
2011-11,Drug Offenses,Legally Barred,6
2011-12,Drug Offenses,Legally Barred,1
2012-02,Drug Offenses,Legally Barred,6
2012-03,Drug Offenses,Legally Barred,23
2012-04,Drug Offenses,Legally Barred,4
2012-05,Drug Offenses,Legally Barred,2
2012-06,Drug Offenses,Legally Barred,5
2012-07,Drug Offenses,Legally Barred,4
2012-08,Drug Offenses,Legally Barred,4
2012-09,Drug Offenses,Legally Barred,7
2012-11,Drug Offenses,Legally Barred,2
2012-12,Drug Offenses,Legally Barred,3
2013-01,Drug Offenses,Legally Barred,6
2013-02,Drug Offenses,Legally Barred,5
2013-03,Drug Offenses,Legally Barred,5
2013-04,Drug Offenses,Legally Barred,5
2013-05,Drug Offenses,Legally Barred,2
2013-06,Drug Offenses,Legally Barred,3
2013-07,Drug Offenses,Legally Barred,6
2013-08,Drug Offenses,Legally Barred,4
2013-09,Drug Offenses,Legally Barred,15
2013-10,Drug Offenses,Legally Barred,9
2013-11,Drug Offenses,Legally Barred,6
2013-12,Drug Offenses,Legally Barred,7
2014-01,Drug Offenses,Legally Barred,9
2014-02,Drug Offenses,Legally Barred,425
2014-03,Drug Offenses,Legally Barred,33
2014-04,Drug Offenses,Legally Barred,7
2014-05,Drug Offenses,Legally Barred,12
2014-06,Drug Offenses,Legally Barred,35
2014-07,Drug Offenses,Legally Barred,12
2014-08,Drug Offenses,Legally Barred,2
2014-09,Drug Offenses,Legally Barred,9
2014-10,Drug Offenses,Legally Barred,7
2014-12,Drug Offenses,Legally Barred,3
2015-01,Drug Offenses,Legally Barred,92
2015-02,Drug Offenses,Legally Barred,29
2015-03,Drug Offenses,Legally Barred,27
2015-04,Drug Offenses,Legally Barred,17
2015-05,Drug Offenses,Legally Barred,13
2015-06,Drug Offenses,Legally Barred,19
2015-07,Drug Offenses,Legally Barred,16
2015-08,Drug Offenses,Legally Barred,12
2015-09,Drug Offenses,Legally Barred,16
2015-10,Drug Offenses,Legally Barred,15
2015-11,Drug Offenses,Legally Barred,4
2015-12,Drug Offenses,Legally Barred,4
2016-01,Drug Offenses,Legally Barred,17
2016-03,Drug Offenses,Legally Barred,36
2016-04,Drug Offenses,Legally Barred,6
2016-05,Drug Offenses,Legally Barred,16
2016-06,Drug Offenses,Legally Barred,7
2016-07,Drug Offenses,Legally Barred,13
2016-08,Drug Offenses,Legally Barred,2
2016-09,Drug Offenses,Legally Barred,1
2016-10,Drug Offenses,Legally Barred,2
2016-11,Drug Offenses,Legally Barred,61
2016-12,Drug Offenses,Legally Barred,1
2017-01,Drug Offenses,Legally Barred,33
2017-02,Drug Offenses,Legally Barred,12
2017-03,Drug Offenses,Legally Barred,18
2017-04,Drug Offenses,Legally Barred,19
2017-05,Drug Offenses,Legally Barred,9
2017-06,Drug Offenses,Legally Barred,29
2017-07,Drug Offenses,Legally Barred,15
2017-08,Drug Offenses,Legally Barred,1
2017-09,Drug Offenses,Legally Barred,6
2017-10,Drug Offenses,Legally Barred,19
2017-11,Drug Offenses,Legally Barred,2
2017-12,Drug Offenses,Legally Barred,27
2018-01,Drug Offenses,Legally Barred,25
2018-02,Drug Offenses,Legally Barred,1
2018-03,Drug Offenses,Legally Barred,6
2018-04,Drug Offenses,Legally Barred,65
2018-05,Drug Offenses,Legally Barred,6
2018-06,Drug Offenses,Legally Barred,38
2018-07,Drug Offenses,Legally Barred,2
2018-08,Drug Offenses,Legally Barred,2
2018-09,Drug Offenses,Legally Barred,11
2018-10,Drug Offenses,Legally Barred,21
2018-11,Drug Offenses,Legally Barred,53
2018-12,Drug Offenses,Legally Barred,40
2019-02,Drug Offenses,Legally Barred,29
2019-03,Drug Offenses,Legally Barred,22
2019-04,Drug Offenses,Legally Barred,6
2019-05,Drug Offenses,Legally Barred,1
2019-06,Drug Offenses,Legally Barred,3
2019-07,Drug Offenses,Legally Barred,54
2019-08,Drug Offenses,Legally Barred,45
2019-09,Drug Offenses,Legally Barred,57
2019-10,Drug Offenses,Legally Barred,4
2019-11,Drug Offenses,Legally Barred,2
2019-12,Drug Offenses,Legally Barred,1
2020-02,Drug Offenses,Legally Barred,1
2020-03,Drug Offenses,Legally Barred,2
2020-04,Drug Offenses,Legally Barred,10
2020-05,Drug Offenses,Legally Barred,8
2020-06,Drug Offenses,Legally Barred,4
2020-08,Drug Offenses,Legally Barred,7
2020-09,Drug Offenses,Legally Barred,7
2020-10,Drug Offenses,Legally Barred,8
2020-11,Drug Offenses,Legally Barred,2
2021-01,Drug Offenses,Legally Barred,6
2021-02,Drug Offenses,Legally Barred,11
2021-03,Drug Offenses,Legally Barred,3
2021-04,Drug Offenses,Legally Barred,8
2021-05,Drug Offenses,Legally Barred,2
2021-06,Drug Offenses,Legally Barred,2
2021-07,Drug Offenses,Legally Barred,6
2021-08,Drug Offenses,Legally Barred,4
2021-09,Drug Offenses,Legally Barred,11
2021-10,Drug Offenses,Legally Barred,3
2021-11,Drug Offenses,Legally Barred,2
2021-12,Drug Offenses,Legally Barred,1
2022-01,Drug Offenses,Legally Barred,2
2022-02,Drug Offenses,Legally Barred,1
2022-03,Drug Offenses,Legally Barred,5
2022-04,Drug Offenses,Legally Barred,3
2022-05,Drug Offenses,Legally Barred,3
2022-06,Drug Offenses,Legally Barred,2
2022-07,Drug Offenses,Legally Barred,3
2022-08,Drug Offenses,Legally Barred,2
2022-09,Drug Offenses,Legally Barred,6
2022-10,Drug Offenses,Legally Barred,5
2022-12,Drug Offenses,Legally Barred,2
2023-01,Drug Offenses,Legally Barred,2
2023-02,Drug Offenses,Legally Barred,1
2023-03,Drug Offenses,Legally Barred,8
2023-04,Drug Offenses,Legally Barred,2
2023-05,Drug Offenses,Legally Barred,1
2023-06,Drug Offenses,Legally Barred,1
2023-07,Drug Offenses,Legally Barred,2
2023-08,Drug Offenses,Legally Barred,5
2023-09,Drug Offenses,Legally Barred,4
2023-10,Drug Offenses,Legally Barred,8
2023-12,Drug Offenses,Legally Barred,3
2024-01,Drug Offenses,Legally Barred,2
2024-02,Drug Offenses,Legally Barred,3
2024-03,Drug Offenses,Legally Barred,2
2024-04,Drug Offenses,Legally Barred,7
2024-06,Drug Offenses,Legally Barred,1
2024-07,Drug Offenses,Legally Barred,5
2024-08,Drug Offenses,Legally Barred,5
2024-09,Drug Offenses,Legally Barred,2
2025-02,Drug Offenses,Legally Barred,15
2025-03,Drug Offenses,Legally Barred,5
2025-05,Drug Offenses,Legally Barred,5
2025-06,Drug Offenses,Legally Barred,4
2025-08,Drug Offenses,Legally Barred,1
2025-09,Drug Offenses,Legally Barred,4
2025-10,Drug Offenses,Legally Barred,1
2025-11,Drug Offenses,Legally Barred,2
2025-12,Drug Offenses,Legally Barred,1
2026-01,Drug Offenses,Legally Barred,1
2026-02,Drug Offenses,Legally Barred,5
2026-03,Drug Offenses,Legally Barred,3
2026-04,Drug Offenses,Legally Barred,2
2026-06,Drug Offenses,Legally Barred,1
2026-07,Drug Offenses,Legally Barred,2
1994-10,Drug Offenses,Matter Referred to Other Jurisdiction,6
1994-11,Drug Offenses,Matter Referred to Other Jurisdiction,15
1994-12,Drug Offenses,Matter Referred to Other Jurisdiction,7
1995-01,Drug Offenses,Matter Referred to Other Jurisdiction,4
1995-02,Drug Offenses,Matter Referred to Other Jurisdiction,10
1995-03,Drug Offenses,Matter Referred to Other Jurisdiction,9
1995-04,Drug Offenses,Matter Referred to Other Jurisdiction,17
1995-05,Drug Offenses,Matter Referred to Other Jurisdiction,17
1995-06,Drug Offenses,Matter Referred to Other Jurisdiction,11
1995-07,Drug Offenses,Matter Referred to Other Jurisdiction,3
1995-08,Drug Offenses,Matter Referred to Other Jurisdiction,9
1995-09,Drug Offenses,Matter Referred to Other Jurisdiction,11
1995-10,Drug Offenses,Matter Referred to Other Jurisdiction,4
1995-11,Drug Offenses,Matter Referred to Other Jurisdiction,8
1995-12,Drug Offenses,Matter Referred to Other Jurisdiction,3
1996-01,Drug Offenses,Matter Referred to Other Jurisdiction,13
1996-02,Drug Offenses,Matter Referred to Other Jurisdiction,8
1996-03,Drug Offenses,Matter Referred to Other Jurisdiction,13
1996-04,Drug Offenses,Matter Referred to Other Jurisdiction,9
1996-05,Drug Offenses,Matter Referred to Other Jurisdiction,5
1996-06,Drug Offenses,Matter Referred to Other Jurisdiction,12
1996-07,Drug Offenses,Matter Referred to Other Jurisdiction,8
1996-08,Drug Offenses,Matter Referred to Other Jurisdiction,2
1996-09,Drug Offenses,Matter Referred to Other Jurisdiction,13
1996-10,Drug Offenses,Matter Referred to Other Jurisdiction,7
1996-11,Drug Offenses,Matter Referred to Other Jurisdiction,7
1996-12,Drug Offenses,Matter Referred to Other Jurisdiction,9
1997-01,Drug Offenses,Matter Referred to Other Jurisdiction,21
1997-02,Drug Offenses,Matter Referred to Other Jurisdiction,10
1997-03,Drug Offenses,Matter Referred to Other Jurisdiction,9
1997-04,Drug Offenses,Matter Referred to Other Jurisdiction,7
1997-05,Drug Offenses,Matter Referred to Other Jurisdiction,16
1997-06,Drug Offenses,Matter Referred to Other Jurisdiction,7
1997-07,Drug Offenses,Matter Referred to Other Jurisdiction,8
1997-08,Drug Offenses,Matter Referred to Other Jurisdiction,5
1997-09,Drug Offenses,Matter Referred to Other Jurisdiction,6
1997-10,Drug Offenses,Matter Referred to Other Jurisdiction,5
1997-11,Drug Offenses,Matter Referred to Other Jurisdiction,3
1997-12,Drug Offenses,Matter Referred to Other Jurisdiction,5
1998-01,Drug Offenses,Matter Referred to Other Jurisdiction,11
1998-02,Drug Offenses,Matter Referred to Other Jurisdiction,16
1998-03,Drug Offenses,Matter Referred to Other Jurisdiction,9
1998-04,Drug Offenses,Matter Referred to Other Jurisdiction,16
1998-05,Drug Offenses,Matter Referred to Other Jurisdiction,2
1998-06,Drug Offenses,Matter Referred to Other Jurisdiction,4
1998-07,Drug Offenses,Matter Referred to Other Jurisdiction,8
1998-08,Drug Offenses,Matter Referred to Other Jurisdiction,8
1998-09,Drug Offenses,Matter Referred to Other Jurisdiction,17
1998-10,Drug Offenses,Matter Referred to Other Jurisdiction,5
1998-11,Drug Offenses,Matter Referred to Other Jurisdiction,8
1998-12,Drug Offenses,Matter Referred to Other Jurisdiction,4
1999-01,Drug Offenses,Matter Referred to Other Jurisdiction,3
1999-02,Drug Offenses,Matter Referred to Other Jurisdiction,5
1999-03,Drug Offenses,Matter Referred to Other Jurisdiction,55
1999-04,Drug Offenses,Matter Referred to Other Jurisdiction,6
1999-05,Drug Offenses,Matter Referred to Other Jurisdiction,9
1999-06,Drug Offenses,Matter Referred to Other Jurisdiction,7
1999-07,Drug Offenses,Matter Referred to Other Jurisdiction,28
1999-08,Drug Offenses,Matter Referred to Other Jurisdiction,20
1999-09,Drug Offenses,Matter Referred to Other Jurisdiction,15
1999-10,Drug Offenses,Matter Referred to Other Jurisdiction,24
1999-11,Drug Offenses,Matter Referred to Other Jurisdiction,21
1999-12,Drug Offenses,Matter Referred to Other Jurisdiction,4
2000-01,Drug Offenses,Matter Referred to Other Jurisdiction,22
2000-02,Drug Offenses,Matter Referred to Other Jurisdiction,11
2000-03,Drug Offenses,Matter Referred to Other Jurisdiction,20
2000-04,Drug Offenses,Matter Referred to Other Jurisdiction,21
2000-05,Drug Offenses,Matter Referred to Other Jurisdiction,7
2000-06,Drug Offenses,Matter Referred to Other Jurisdiction,30
2000-07,Drug Offenses,Matter Referred to Other Jurisdiction,16
2000-08,Drug Offenses,Matter Referred to Other Jurisdiction,13
2000-09,Drug Offenses,Matter Referred to Other Jurisdiction,20
2000-10,Drug Offenses,Matter Referred to Other Jurisdiction,95
2000-11,Drug Offenses,Matter Referred to Other Jurisdiction,12
2000-12,Drug Offenses,Matter Referred to Other Jurisdiction,6
2001-01,Drug Offenses,Matter Referred to Other Jurisdiction,8
2001-02,Drug Offenses,Matter Referred to Other Jurisdiction,18
2001-03,Drug Offenses,Matter Referred to Other Jurisdiction,20
2001-04,Drug Offenses,Matter Referred to Other Jurisdiction,10
2001-05,Drug Offenses,Matter Referred to Other Jurisdiction,14
2001-06,Drug Offenses,Matter Referred to Other Jurisdiction,10
2001-07,Drug Offenses,Matter Referred to Other Jurisdiction,12
2001-08,Drug Offenses,Matter Referred to Other Jurisdiction,9
2001-09,Drug Offenses,Matter Referred to Other Jurisdiction,10
2001-10,Drug Offenses,Matter Referred to Other Jurisdiction,12
2001-11,Drug Offenses,Matter Referred to Other Jurisdiction,7
2001-12,Drug Offenses,Matter Referred to Other Jurisdiction,11
2002-01,Drug Offenses,Matter Referred to Other Jurisdiction,18
2002-02,Drug Offenses,Matter Referred to Other Jurisdiction,4
2002-03,Drug Offenses,Matter Referred to Other Jurisdiction,10
2002-04,Drug Offenses,Matter Referred to Other Jurisdiction,4
2002-05,Drug Offenses,Matter Referred to Other Jurisdiction,20
2002-06,Drug Offenses,Matter Referred to Other Jurisdiction,26
2002-07,Drug Offenses,Matter Referred to Other Jurisdiction,18
2002-08,Drug Offenses,Matter Referred to Other Jurisdiction,17
2002-09,Drug Offenses,Matter Referred to Other Jurisdiction,22
2002-10,Drug Offenses,Matter Referred to Other Jurisdiction,13
2002-11,Drug Offenses,Matter Referred to Other Jurisdiction,4
2002-12,Drug Offenses,Matter Referred to Other Jurisdiction,11
2003-01,Drug Offenses,Matter Referred to Other Jurisdiction,15
2003-02,Drug Offenses,Matter Referred to Other Jurisdiction,6
2003-03,Drug Offenses,Matter Referred to Other Jurisdiction,12
2003-04,Drug Offenses,Matter Referred to Other Jurisdiction,15
2003-05,Drug Offenses,Matter Referred to Other Jurisdiction,10
2003-06,Drug Offenses,Matter Referred to Other Jurisdiction,3
2003-07,Drug Offenses,Matter Referred to Other Jurisdiction,15
2003-08,Drug Offenses,Matter Referred to Other Jurisdiction,10
2003-09,Drug Offenses,Matter Referred to Other Jurisdiction,18
2003-10,Drug Offenses,Matter Referred to Other Jurisdiction,14
2003-11,Drug Offenses,Matter Referred to Other Jurisdiction,6
2003-12,Drug Offenses,Matter Referred to Other Jurisdiction,6
2004-01,Drug Offenses,Matter Referred to Other Jurisdiction,5
2004-02,Drug Offenses,Matter Referred to Other Jurisdiction,11
2004-03,Drug Offenses,Matter Referred to Other Jurisdiction,13
2004-04,Drug Offenses,Matter Referred to Other Jurisdiction,5
2004-05,Drug Offenses,Matter Referred to Other Jurisdiction,10
2004-06,Drug Offenses,Matter Referred to Other Jurisdiction,2
2004-07,Drug Offenses,Matter Referred to Other Jurisdiction,29
2004-08,Drug Offenses,Matter Referred to Other Jurisdiction,43
2004-09,Drug Offenses,Matter Referred to Other Jurisdiction,11
2004-10,Drug Offenses,Matter Referred to Other Jurisdiction,22
2004-11,Drug Offenses,Matter Referred to Other Jurisdiction,6
2004-12,Drug Offenses,Matter Referred to Other Jurisdiction,3
2005-01,Drug Offenses,Matter Referred to Other Jurisdiction,39
2005-02,Drug Offenses,Matter Referred to Other Jurisdiction,4
2005-03,Drug Offenses,Matter Referred to Other Jurisdiction,28
2005-04,Drug Offenses,Matter Referred to Other Jurisdiction,10
2005-05,Drug Offenses,Matter Referred to Other Jurisdiction,3
2005-06,Drug Offenses,Matter Referred to Other Jurisdiction,5
2005-07,Drug Offenses,Matter Referred to Other Jurisdiction,3
2005-08,Drug Offenses,Matter Referred to Other Jurisdiction,6
2005-09,Drug Offenses,Matter Referred to Other Jurisdiction,14
2005-10,Drug Offenses,Matter Referred to Other Jurisdiction,8
2005-11,Drug Offenses,Matter Referred to Other Jurisdiction,3
2005-12,Drug Offenses,Matter Referred to Other Jurisdiction,1
2006-01,Drug Offenses,Matter Referred to Other Jurisdiction,5
2006-02,Drug Offenses,Matter Referred to Other Jurisdiction,3
2006-03,Drug Offenses,Matter Referred to Other Jurisdiction,13
2006-04,Drug Offenses,Matter Referred to Other Jurisdiction,4
2006-05,Drug Offenses,Matter Referred to Other Jurisdiction,2
2006-06,Drug Offenses,Matter Referred to Other Jurisdiction,5
2006-07,Drug Offenses,Matter Referred to Other Jurisdiction,3
2006-08,Drug Offenses,Matter Referred to Other Jurisdiction,9
2006-09,Drug Offenses,Matter Referred to Other Jurisdiction,19
2006-10,Drug Offenses,Matter Referred to Other Jurisdiction,7
2006-11,Drug Offenses,Matter Referred to Other Jurisdiction,2
2006-12,Drug Offenses,Matter Referred to Other Jurisdiction,4
2007-01,Drug Offenses,Matter Referred to Other Jurisdiction,2
2007-02,Drug Offenses,Matter Referred to Other Jurisdiction,5
2007-03,Drug Offenses,Matter Referred to Other Jurisdiction,25
2007-04,Drug Offenses,Matter Referred to Other Jurisdiction,9
2007-05,Drug Offenses,Matter Referred to Other Jurisdiction,12
2007-06,Drug Offenses,Matter Referred to Other Jurisdiction,6
2007-07,Drug Offenses,Matter Referred to Other Jurisdiction,5
2007-08,Drug Offenses,Matter Referred to Other Jurisdiction,5
2007-09,Drug Offenses,Matter Referred to Other Jurisdiction,16
2007-10,Drug Offenses,Matter Referred to Other Jurisdiction,7
2007-11,Drug Offenses,Matter Referred to Other Jurisdiction,3
2007-12,Drug Offenses,Matter Referred to Other Jurisdiction,2
2008-01,Drug Offenses,Matter Referred to Other Jurisdiction,8
2008-02,Drug Offenses,Matter Referred to Other Jurisdiction,5
2008-03,Drug Offenses,Matter Referred to Other Jurisdiction,38
2008-04,Drug Offenses,Matter Referred to Other Jurisdiction,10
2008-05,Drug Offenses,Matter Referred to Other Jurisdiction,3
2008-06,Drug Offenses,Matter Referred to Other Jurisdiction,5
2008-07,Drug Offenses,Matter Referred to Other Jurisdiction,13
2008-08,Drug Offenses,Matter Referred to Other Jurisdiction,7
2008-09,Drug Offenses,Matter Referred to Other Jurisdiction,13
2008-10,Drug Offenses,Matter Referred to Other Jurisdiction,7
2008-11,Drug Offenses,Matter Referred to Other Jurisdiction,4
2008-12,Drug Offenses,Matter Referred to Other Jurisdiction,1
2009-01,Drug Offenses,Matter Referred to Other Jurisdiction,2
2009-02,Drug Offenses,Matter Referred to Other Jurisdiction,7
2009-03,Drug Offenses,Matter Referred to Other Jurisdiction,20
2009-04,Drug Offenses,Matter Referred to Other Jurisdiction,5
2009-05,Drug Offenses,Matter Referred to Other Jurisdiction,1
2009-06,Drug Offenses,Matter Referred to Other Jurisdiction,3
2009-07,Drug Offenses,Matter Referred to Other Jurisdiction,4
2009-08,Drug Offenses,Matter Referred to Other Jurisdiction,5
2009-09,Drug Offenses,Matter Referred to Other Jurisdiction,6
2009-10,Drug Offenses,Matter Referred to Other Jurisdiction,5
2009-11,Drug Offenses,Matter Referred to Other Jurisdiction,5
2009-12,Drug Offenses,Matter Referred to Other Jurisdiction,6
2010-01,Drug Offenses,Matter Referred to Other Jurisdiction,3
2010-02,Drug Offenses,Matter Referred to Other Jurisdiction,9
2010-03,Drug Offenses,Matter Referred to Other Jurisdiction,13
2010-04,Drug Offenses,Matter Referred to Other Jurisdiction,6
2010-05,Drug Offenses,Matter Referred to Other Jurisdiction,9
2010-06,Drug Offenses,Matter Referred to Other Jurisdiction,6
2010-07,Drug Offenses,Matter Referred to Other Jurisdiction,6
2010-08,Drug Offenses,Matter Referred to Other Jurisdiction,5
2010-09,Drug Offenses,Matter Referred to Other Jurisdiction,17
2010-10,Drug Offenses,Matter Referred to Other Jurisdiction,3
2010-11,Drug Offenses,Matter Referred to Other Jurisdiction,1
2010-12,Drug Offenses,Matter Referred to Other Jurisdiction,3
2011-01,Drug Offenses,Matter Referred to Other Jurisdiction,6
2011-02,Drug Offenses,Matter Referred to Other Jurisdiction,9
2011-03,Drug Offenses,Matter Referred to Other Jurisdiction,22
2011-04,Drug Offenses,Matter Referred to Other Jurisdiction,4
2011-05,Drug Offenses,Matter Referred to Other Jurisdiction,6
2011-06,Drug Offenses,Matter Referred to Other Jurisdiction,1
2011-07,Drug Offenses,Matter Referred to Other Jurisdiction,1
2011-08,Drug Offenses,Matter Referred to Other Jurisdiction,7
2011-09,Drug Offenses,Matter Referred to Other Jurisdiction,13
2011-10,Drug Offenses,Matter Referred to Other Jurisdiction,3
2011-11,Drug Offenses,Matter Referred to Other Jurisdiction,3
2011-12,Drug Offenses,Matter Referred to Other Jurisdiction,10
2012-01,Drug Offenses,Matter Referred to Other Jurisdiction,3
2012-02,Drug Offenses,Matter Referred to Other Jurisdiction,12
2012-03,Drug Offenses,Matter Referred to Other Jurisdiction,19
2012-04,Drug Offenses,Matter Referred to Other Jurisdiction,8
2012-05,Drug Offenses,Matter Referred to Other Jurisdiction,20
2012-06,Drug Offenses,Matter Referred to Other Jurisdiction,13
2012-07,Drug Offenses,Matter Referred to Other Jurisdiction,10
2012-08,Drug Offenses,Matter Referred to Other Jurisdiction,7
2012-09,Drug Offenses,Matter Referred to Other Jurisdiction,17
2012-10,Drug Offenses,Matter Referred to Other Jurisdiction,9
2012-11,Drug Offenses,Matter Referred to Other Jurisdiction,1
2012-12,Drug Offenses,Matter Referred to Other Jurisdiction,6
2013-01,Drug Offenses,Matter Referred to Other Jurisdiction,8
2013-02,Drug Offenses,Matter Referred to Other Jurisdiction,12
2013-03,Drug Offenses,Matter Referred to Other Jurisdiction,15
2013-04,Drug Offenses,Matter Referred to Other Jurisdiction,19
2013-05,Drug Offenses,Matter Referred to Other Jurisdiction,4
2013-06,Drug Offenses,Matter Referred to Other Jurisdiction,9
2013-07,Drug Offenses,Matter Referred to Other Jurisdiction,20
2013-08,Drug Offenses,Matter Referred to Other Jurisdiction,37
2013-09,Drug Offenses,Matter Referred to Other Jurisdiction,28
2013-10,Drug Offenses,Matter Referred to Other Jurisdiction,34
2013-11,Drug Offenses,Matter Referred to Other Jurisdiction,30
2013-12,Drug Offenses,Matter Referred to Other Jurisdiction,32
2014-01,Drug Offenses,Matter Referred to Other Jurisdiction,52
2014-02,Drug Offenses,Matter Referred to Other Jurisdiction,46
2014-03,Drug Offenses,Matter Referred to Other Jurisdiction,65
2014-04,Drug Offenses,Matter Referred to Other Jurisdiction,42
2014-05,Drug Offenses,Matter Referred to Other Jurisdiction,33
2014-06,Drug Offenses,Matter Referred to Other Jurisdiction,45
2014-07,Drug Offenses,Matter Referred to Other Jurisdiction,25
2014-08,Drug Offenses,Matter Referred to Other Jurisdiction,55
2014-09,Drug Offenses,Matter Referred to Other Jurisdiction,67
2014-10,Drug Offenses,Matter Referred to Other Jurisdiction,32
2014-11,Drug Offenses,Matter Referred to Other Jurisdiction,18
2014-12,Drug Offenses,Matter Referred to Other Jurisdiction,39
2015-01,Drug Offenses,Matter Referred to Other Jurisdiction,49
2015-02,Drug Offenses,Matter Referred to Other Jurisdiction,28
2015-03,Drug Offenses,Matter Referred to Other Jurisdiction,68
2015-04,Drug Offenses,Matter Referred to Other Jurisdiction,59
2015-05,Drug Offenses,Matter Referred to Other Jurisdiction,23
2015-06,Drug Offenses,Matter Referred to Other Jurisdiction,46
2015-07,Drug Offenses,Matter Referred to Other Jurisdiction,34
